symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
AVAX,buy,2026-02-26 17:00:00+00:00,9.112832239084257,2026-02-27 04:00:00+00:00,9.476887064960064,109.74057328475484,39.951585298692585,39.23756803265656,0.7140172660360244,110,take_profit
OP,buy,2026-02-26 17:00:00+00:00,0.11732556497622637,2026-02-27 04:00:00+00:00,0.12201268496346898,8523.695874531197,39.95158529869256,39.23756803265653,0.7140172660360246,110,take_profit
DOGE,buy,2026-02-26 17:00:00+00:00,0.09568853869063454,2026-02-27 14:00:00+00:00,0.0937703643905184,10451.068099159733,-20.046970236571784,-20.739986506490347,0.6930162699185616,120,stop_loss
SOL,buy,2026-02-27 13:00:00+00:00,83.05795335902513,2026-02-27 16:00:00+00:00,81.39295866474805,12.124625540370795,-20.187437194813796,-20.885303700025602,0.6978665052118072,102,stop_loss
ETH,buy,2026-02-27 12:00:00+00:00,1961.2933590130694,2026-02-27 17:00:00+00:00,1921.9769130718985,0.5135282409157789,-20.19010532322984,-20.888063956660055,0.6979586334302157,104,stop_loss
AVAX,buy,2026-02-27 13:00:00+00:00,9.01292899376567,2026-02-27 22:00:00+00:00,8.83225419565634,111.7335533569993,-20.187437194813846,-20.885303700025652,0.697866505211807,108,stop_loss
LINK,buy,2026-02-27 13:00:00+00:00,8.815419592792718,2026-02-27 22:00:00+00:00,8.63870410371269,114.23694266930869,-20.187437194813977,-20.885303700025784,0.697866505211807,108,stop_loss
BTC,buy,2026-02-27 12:00:00+00:00,66106.14670142817,2026-02-28 06:00:00+00:00,64780.970775439375,0.015235792416138835,-20.190105323229783,-20.888063956659998,0.6979586334302156,117,stop_loss
SOL,buy,2026-02-27 17:00:00+00:00,81.31085659118989,2026-02-28 06:00:00+00:00,79.6808977192762,12.298180989022557,-20.04552921145755,-20.73849572338431,0.6929665119267625,112,stop_loss
ARB,buy,2026-02-28 07:00:00+00:00,0.09307439978720544,2026-02-28 12:00:00+00:00,0.09120864303300363,10672.144208468937,-19.91162513876663,-20.599967972194893,0.6883428334282626,104,stop_loss
SOL,buy,2026-02-28 07:00:00+00:00,77.5026636844164,2026-02-28 13:00:00+00:00,80.59888426699911,12.81637777883849,39.682332672995315,38.97313046781749,0.7092022051778234,105,take_profit
OP,buy,2026-02-28 07:00:00+00:00,0.11025521195379177,2026-02-28 14:00:00+00:00,0.11465989226230856,9009.128902332915,39.68233267299527,38.97313046781745,0.7092022051778233,106,take_profit
BTC,buy,2026-02-28 07:00:00+00:00,63185.98691044377,2026-02-28 18:00:00+00:00,65710.25825677499,0.01572031181618796,39.68233267299545,38.973130467817626,0.7092022051778233,110,take_profit
ETH,buy,2026-02-28 07:00:00+00:00,1842.0870786293374,2026-02-28 18:00:00+00:00,1915.6781999743528,0.5392271777862129,39.68233267299537,38.97313046781755,0.7092022051778235,110,take_profit
AVAX,buy,2026-02-28 07:00:00+00:00,8.528403152307812,2026-02-28 18:00:00+00:00,8.86911166633077,116.47003535204081,39.68233267299529,38.97313046781746,0.7092022051778233,110,take_profit
DOGE,buy,2026-02-28 07:00:00+00:00,0.08856618667620596,2026-02-28 18:00:00+00:00,0.09210439345609589,11215.379750708023,39.682332672995386,38.97313046781756,0.7092022051778233,110,take_profit
LINK,buy,2026-02-28 07:00:00+00:00,8.276291234543178,2026-02-28 18:00:00+00:00,8.606927912686073,120.01793901354584,39.682332672995344,38.97313046781752,0.7092022051778234,110,take_profit
AVAX,buy,2026-03-01 17:00:00+00:00,9.018531700009957,2026-03-01 20:00:00+00:00,8.837742221954066,112.93705503514674,-20.417831232973587,-21.123652971530447,0.7058217385568621,102,stop_loss
