symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
ARB,sell,2026-02-23 04:00:00+00:00,0.09006572760476723,2026-02-23 05:00:00+00:00,0.09187144304954371,11102.475852115022,-20.047912121421994,-20.754895187425124,0.7069830660031298,100,stop_loss
SOL,sell,2026-02-23 04:00:00+00:00,77.59831901393524,2026-02-23 07:00:00+00:00,79.15407709038183,12.88626581789129,-20.047912121422048,-20.754895187425177,0.7069830660031298,102,stop_loss
AVAX,sell,2026-02-23 04:00:00+00:00,8.419700599588104,2026-02-23 07:00:00+00:00,8.58850602444169,118.76343511359723,-20.04791212142207,-20.7548951874252,0.7069830660031298,102,stop_loss
BTC,sell,2026-02-23 04:00:00+00:00,64898.9214278295,2026-02-23 09:00:00+00:00,66200.07102033403,0.015407845675017719,-20.047912121422005,-20.754895187425134,0.7069830660031298,104,stop_loss
ETH,sell,2026-02-23 04:00:00+00:00,1861.5116965586174,2026-02-23 09:00:00+00:00,1898.8328897638567,0.5371723248818221,-20.047912121422055,-20.754895187425184,0.7069830660031298,104,stop_loss
SOL,buy,2026-02-24 23:00:00+00:00,79.02772893711783,2026-02-25 01:00:00+00:00,82.18488291865657,12.523063277058709,39.537239086227494,38.83063158584097,0.7066075003865249,101,take_profit
ARB,buy,2026-02-25 02:00:00+00:00,0.09484448402440313,2026-02-25 03:00:00+00:00,0.0929432438568638,10475.596958718597,-19.916625716868623,-20.60514122013659,0.6885155032679693,100,stop_loss
ETH,buy,2026-02-25 02:00:00+00:00,1917.590659181706,2026-02-25 05:00:00+00:00,1879.1508867095777,0.5181254839973255,-19.91662571686861,-20.605141220136577,0.6885155032679693,102,stop_loss
AVAX,buy,2026-02-25 03:00:00+00:00,8.624306896541011,2026-02-25 05:00:00+00:00,8.451425979787654,114.729299528122,-19.834506480892212,-20.520186399442817,0.6856799185506057,101,stop_loss
BTC,buy,2026-02-25 02:00:00+00:00,65869.11413698162,2026-02-25 17:00:00+00:00,68500.57562681183,0.015083739950275888,39.69228080176444,38.98290069414013,0.709380107624312,114,take_profit
ARB,sell,2026-02-26 18:00:00+00:00,0.09636544885654462,2026-02-26 19:00:00+00:00,0.09829744585973461,10285.67872522895,-19.871900472917417,-20.5726839783129,0.700783505395481,100,stop_loss
AVAX,sell,2026-02-26 19:00:00+00:00,9.21374421955262,2026-02-27 03:00:00+00:00,9.398488591108412,118.02009466025457,-21.803548218963883,-22.572363770133574,0.7688155511696908,107,stop_loss
SOL,sell,2026-02-26 21:00:00+00:00,85.97372741490321,2026-02-27 03:00:00+00:00,87.69760303653794,12.765472934239945,-22.00608758997424,-22.782035849815596,0.7759482598413577,105,stop_loss
ETH,sell,2026-02-27 02:00:00+00:00,2020.5895859275606,2026-02-27 04:00:00+00:00,2061.115111325534,0.6566906220052313,-26.612732480684034,-27.550877736468145,0.9381452557841121,101,stop_loss
ARB,buy,2026-02-26 23:00:00+00:00,0.1005954968916902,2026-02-27 06:00:00+00:00,0.10461348630780669,13194.33228191547,53.01468746146047,52.06702749198979,0.9476599694706782,106,take_profit
SOL,buy,2026-02-27 04:00:00+00:00,87.58862489544431,2026-02-27 10:00:00+00:00,85.832365197492,14.14969220169982,-24.85053415227557,-25.709382241249113,0.8588480889735398,105,stop_loss
ETH,buy,2026-02-27 06:00:00+00:00,2040.7018257279394,2026-02-27 10:00:00+00:00,1999.7889955378914,0.5423240721630005,-22.188012672380175,-22.954951499360053,0.7669388269798778,103,stop_loss
ETH,sell,2026-02-27 11:00:00+00:00,1979.8012700777317,2026-02-27 22:00:00+00:00,1900.7020780942767,0.5581941814402249,44.152708721787896,43.39458153825941,0.7581271835284855,110,take_profit
BTC,sell,2026-02-26 22:00:00+00:00,67433.48691464799,2026-02-28 06:00:00+00:00,64739.45160220246,0.01788546181361271,48.184065705268694,47.35667348181773,0.8273922234509616,131,take_profit
SOL,sell,2026-02-27 12:00:00+00:00,83.51562926722067,2026-02-28 06:00:00+00:00,80.1791149028261,14.573186914563516,48.623647475448216,47.788702213360565,0.8349452620876496,117,take_profit
AVAX,sell,2026-02-27 12:00:00+00:00,9.017528073896026,2026-02-28 06:00:00+00:00,8.657270811706006,134.96923609495948,48.62364747544849,47.78870221336084,0.8349452620876495,117,take_profit
ARB,sell,2026-02-27 20:00:00+00:00,0.0992142978329948,2026-02-28 06:00:00+00:00,0.09525108893876615,14794.47912399687,58.63361124970462,57.62665455684659,1.0069566928580351,109,take_profit
ARB,buy,2026-03-01 01:00:00+00:00,0.09894472508808914,2026-03-01 01:00:00+00:00,0.10289750232280782,10245.226935589955,40.497099795526594,39.77332696878509,0.723772826741505,241,take_profit
SOL,buy,2026-02-28 21:00:00+00:00,84.82103651618887,2026-03-01 02:00:00+00:00,88.20959655805851,11.868126241111375,40.215858352494514,39.497115046290716,0.7187433062038013,104,take_profit
ETH,buy,2026-02-28 22:00:00+00:00,1957.0931093667944,2026-03-01 02:00:00+00:00,2035.2780752663864,0.5140812346618409,40.1934238016562,39.4750816974824,0.7183421041738004,103,take_profit
AVAX,buy,2026-02-28 22:00:00+00:00,9.124334093281398,2026-03-01 19:00:00+00:00,8.941426245544825,110.26611166641703,-20.168537163184922,-20.86575106567648,0.6972139024915596,120,stop_loss
BTC,buy,2026-02-28 21:00:00+00:00,66918.18454414539,2026-03-01 20:00:00+00:00,65576.73114560574,0.015043246856345265,-20.179814620515348,-20.87741792456435,0.6976033040490045,122,stop_loss
ETH,sell,2026-03-01 21:00:00+00:00,1913.3085919740136,2026-03-01 22:00:00+00:00,1951.6689209985009,0.530113462352135,-20.335326836138073,-21.052433140020153,0.7171063038820786,100,stop_loss
SOL,sell,2026-03-01 21:00:00+00:00,81.93208570710922,2026-03-01 22:00:00+00:00,83.57475943918323,12.379407084365543,-20.335326836138083,-21.052433140020163,0.7171063038820787,100,stop_loss
ARB,sell,2026-03-01 21:00:00+00:00,0.09629539950198468,2026-03-01 22:00:00+00:00,0.09822604635317007,10532.908607108777,-20.335326836138094,-21.052433140020174,0.7171063038820787,100,stop_loss
AVAX,sell,2026-03-01 21:00:00+00:00,8.864276510542508,2026-03-01 22:00:00+00:00,9.041998266946488,114.42227022511481,-20.33532683613817,-21.05243314002025,0.7171063038820789,100,stop_loss
BTC,sell,2026-03-01 21:00:00+00:00,65248.88274458468,2026-03-02 00:00:00+00:00,66557.07140848447,0.01554464382493372,-20.335326836138155,-21.052433140020234,0.7171063038820787,102,stop_loss
