timestamp,equity,cash,exposure
2026-04-26 02:00:00+00:00,10000.0,10000.0,0.0
2026-04-26 03:00:00+00:00,9998.881254977603,9391.25412745178,607.6271275258227
2026-04-26 04:00:00+00:00,10001.972630979713,9391.25412745178,610.7185035279327
2026-04-26 05:00:00+00:00,10006.536090792351,9391.25412745178,615.2819633405711
2026-04-26 06:00:00+00:00,10009.632100308316,8267.433841377771,1742.198258930544
2026-04-26 07:00:00+00:00,9509.53503389893,7766.709720997566,2245.484781037513
2026-04-26 08:00:00+00:00,9505.482466036776,7291.194658619793,2717.8845648158426
2026-04-26 09:00:00+00:00,9507.551128669604,6815.662373779569,3196.0500160493857
2026-04-26 10:00:00+00:00,9511.409919050664,6815.662373779569,3200.675679463574
2026-04-26 11:00:00+00:00,9514.990345565295,6815.662373779569,3207.5153163689874
2026-04-26 12:00:00+00:00,9502.54828070558,6815.662373779569,3192.1761756063543
2026-04-26 13:00:00+00:00,9502.499513445404,6815.662373779569,3190.316735906858
2026-04-26 14:00:00+00:00,9511.960937772015,6815.662373779569,3205.7959833406267
2026-04-26 15:00:00+00:00,9515.672685138185,6815.662373779569,3210.30655678297
2026-04-26 16:00:00+00:00,9508.898725117506,6815.662373779569,3198.558573061327
2026-04-26 17:00:00+00:00,9513.484442542273,6815.662373779569,3204.0922307631517
2026-04-26 18:00:00+00:00,9521.448824812967,6815.662373779569,3216.434179931265
2026-04-26 19:00:00+00:00,9522.365574479307,6815.662373779569,3215.934344689196
2026-04-26 20:00:00+00:00,9520.219316710323,6815.662373779569,3211.1998904334137
2026-04-26 21:00:00+00:00,9521.578549284008,6815.662373779569,3214.9556012356143
2026-04-26 22:00:00+00:00,9516.89685168204,6815.662373779569,3208.548439309118
2026-04-26 23:00:00+00:00,9520.681870074124,6815.662373779569,3214.6873318723206
2026-04-27 00:00:00+00:00,9536.18478431477,6815.662373779569,3234.791484311716
2026-04-27 01:00:00+00:00,9546.875450722784,6338.264596191598,3727.172287090329
2026-04-27 02:00:00+00:00,9548.984793983505,6338.264596191598,3727.534863997823
2026-04-27 03:00:00+00:00,9049.156167891993,6460.137516693861,2589.0186511981333
2026-04-27 04:00:00+00:00,9036.902751892205,5707.874357238723,3329.0283946534832
2026-04-27 05:00:00+00:00,8978.3315069531,6444.546382748541,2533.785124204559
2026-04-27 06:00:00+00:00,8959.186667989623,5881.366172597568,3077.820495392054
2026-04-27 07:00:00+00:00,8949.378570921304,5881.366172597568,3068.0123983237354
2026-04-27 08:00:00+00:00,8953.515618610008,6662.0969984358435,2291.4186201741663
2026-04-27 09:00:00+00:00,8955.641822294638,6662.0969984358435,2293.5448238587937
2026-04-27 10:00:00+00:00,8952.67717340764,6662.0969984358435,2290.5801749717957
2026-04-27 11:00:00+00:00,8955.510284124814,6662.0969984358435,2293.413285688971
2026-04-27 12:00:00+00:00,8948.475838416629,6662.0969984358435,2286.378839980786
2026-04-27 13:00:00+00:00,8948.248634422856,6662.0969984358435,2286.1516359870143
2026-04-27 14:00:00+00:00,8954.139216499812,6662.0969984358435,2292.042218063969
2026-04-27 15:00:00+00:00,8919.213555696246,7854.482022764507,1064.7315329317394
2026-04-27 16:00:00+00:00,8918.831170816611,7854.482022764507,1064.3491480521047
2026-04-27 17:00:00+00:00,8921.299840344238,7854.482022764507,1066.8178175797318
2026-04-27 18:00:00+00:00,8922.60074304969,7854.482022764507,1068.1187202851836
2026-04-27 19:00:00+00:00,8918.979935066513,8447.255394927,471.72454013951244
2026-04-27 20:00:00+00:00,8920.383819717572,8447.255394927,473.12842479057196
2026-04-27 21:00:00+00:00,8919.703586948503,8447.255394927,472.4481920215019
2026-04-27 22:00:00+00:00,8923.403860238408,8447.255394927,476.1484653114078
2026-04-27 23:00:00+00:00,8924.513459790793,8447.255394927,477.2580648637916
2026-04-28 00:00:00+00:00,8924.875285731787,8447.255394927,477.6198908047864
2026-04-28 01:00:00+00:00,8925.791911448974,8447.255394927,478.53651652197294
2026-04-28 02:00:00+00:00,8925.623059343176,8447.255394927,478.3676644161754
2026-04-28 03:00:00+00:00,8926.322589495765,8447.255394927,479.0671945687652
2026-04-28 04:00:00+00:00,8927.750595876225,8447.255394927,480.4952009492244
2026-04-28 05:00:00+00:00,8930.461878260745,8447.255394927,483.20648333374476
2026-04-28 06:00:00+00:00,7956.134259502538,7472.1889776991775,1450.709016063404
2026-04-28 07:00:00+00:00,7957.468263869865,7472.1889776991775,1450.4556651731818
2026-04-28 08:00:00+00:00,7957.7501174872195,7472.1889776991775,1451.1676268070921
