symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
OP,buy,2026-04-26 03:00:00+00:00,0.12401458861859993,2026-04-27 03:00:00+00:00,0.128970305222424,4906.946035095072,24.31743394018935,23.882949334569684,0.43448460561966756,123,take_profit
LINK,sell,2026-04-26 07:00:00+00:00,9.399084556237801,2026-04-27 03:00:00+00:00,9.587391185239582,53.25507174478342,-10.028283037508173,-10.382177005272293,0.35389396776412063,119,stop_loss
OP,buy,2026-04-27 04:00:00+00:00,0.12833527860826335,2026-04-27 05:00:00+00:00,0.12576345167566236,5859.651207730311,-15.070008791688768,-15.5911339453195,0.5211251536307323,100,stop_loss
AVAX,buy,2026-04-26 09:00:00+00:00,9.432408465481707,2026-04-27 06:00:00+00:00,9.243461023549168,50.39708722873778,-9.522400712721046,-9.851823848867312,0.3294231361462666,120,stop_loss
SOL,buy,2026-04-27 01:00:00+00:00,87.2788598495601,2026-04-27 06:00:00+00:00,85.53050803170531,5.467884813347929,-9.559786353237488,-9.890501791515025,0.3307154382775359,104,stop_loss
OP,buy,2026-04-27 06:00:00+00:00,0.12429526309245217,2026-04-27 08:00:00+00:00,0.1218042515144839,6411.961643810101,-15.972270692219434,-16.524563567261076,0.5522928750416436,101,stop_loss
ETH,buy,2026-04-26 06:00:00+00:00,2326.579448718999,2026-04-27 15:00:00+00:00,2279.9707785816054,0.22278303170964048,-10.383620837163177,-10.742812081431488,0.35919124426831167,132,stop_loss
LINK,buy,2026-04-27 06:00:00+00:00,9.350070747209548,2026-04-27 15:00:00+00:00,9.162709630279197,74.74467117305998,-14.004245075576316,-14.488550875261325,0.48430579968500914,108,stop_loss
BTC,buy,2026-04-26 06:00:00+00:00,77944.8758752792,2026-04-27 19:00:00+00:00,76383.18817150289,0.007763238708175656,-12.123754432038275,-12.543084159407822,0.4193297273695471,136,stop_loss
DOGE,buy,2026-04-26 08:00:00+00:00,0.0985312221813403,2026-04-29 04:00:00+00:00,0.10246905346812069,4824.34587992956,18.997460144236644,18.65806661617436,0.3393935280622852,167,take_profit
ARB,sell,2026-04-28 14:00:00+00:00,0.12466610633916501,2026-04-29 04:00:00+00:00,0.12716343933081836,3477.345482118583,-8.684089595871454,-8.990583869740654,0.3064942738691996,113,stop_loss
ETH,sell,2026-04-28 14:00:00+00:00,2275.3310149104677,2026-04-29 04:00:00+00:00,2320.9086969326486,0.17953729814319316,-8.18289388589194,-8.471712516219238,0.2888186303272989,113,stop_loss
SOL,sell,2026-04-28 15:00:00+00:00,83.36169175952206,2026-04-29 04:00:00+00:00,85.03130332873737,4.087369994618737,-6.824320230678946,-7.065219697662609,0.2408994669836627,112,stop_loss
OP,sell,2026-04-28 06:00:00+00:00,0.12248577650572752,2026-04-29 09:00:00+00:00,0.12493984264134574,4313.7939507699,-10.586335650619125,-10.959905557402793,0.3735699067836686,126,stop_loss
BTC,sell,2026-04-28 14:00:00+00:00,76153.51407126864,2026-04-29 09:00:00+00:00,77679.14510555338,0.006218454398143862,-9.487067015092727,-9.821877333853774,0.33481031876104633,118,stop_loss
DOGE,buy,2026-04-29 06:00:00+00:00,0.10232296757611693,2026-04-29 09:00:00+00:00,0.10641273874270117,3653.7566762231286,14.943028704132015,14.676094155811072,0.26693454832094343,102,take_profit
