timestamp,equity,cash,exposure
2026-04-26 02:00:00+00:00,10000.0,10000.0,0.0
2026-04-26 03:00:00+00:00,10000.0,10000.0,0.0
2026-04-26 04:00:00+00:00,10000.0,10000.0,0.0
2026-04-26 05:00:00+00:00,10000.0,10000.0,0.0
2026-04-26 06:00:00+00:00,10000.249765246072,8877.233125986637,1123.0166392594342
2026-04-26 07:00:00+00:00,10001.391257070969,8877.233125986637,1124.1581310843326
2026-04-26 08:00:00+00:00,10000.866622925665,8376.99133046816,1623.875292457505
2026-04-26 09:00:00+00:00,10001.77763870068,8376.99133046816,1624.7863082325196
2026-04-26 10:00:00+00:00,10001.37564486239,8376.99133046816,1624.384314394231
2026-04-26 11:00:00+00:00,10005.933436960102,7876.546306661474,2129.3871302986277
2026-04-26 12:00:00+00:00,9992.848409171582,7876.546306661474,2116.302102510109
2026-04-26 13:00:00+00:00,9991.396233650028,7876.546306661474,2114.849926988554
2026-04-26 14:00:00+00:00,10000.424791699605,7876.546306661474,2123.8784850381307
2026-04-26 15:00:00+00:00,10002.401970958668,7876.546306661474,2125.855664297193
2026-04-26 16:00:00+00:00,9994.329921555387,7876.546306661474,2117.7836148939155
2026-04-26 17:00:00+00:00,9993.61524072677,8366.622967477319,1626.9922732494483
2026-04-26 18:00:00+00:00,10001.303616628404,8366.622967477319,1634.6806491510858
2026-04-26 19:00:00+00:00,10001.712020554032,8366.622967477319,1635.0890530767144
2026-04-26 20:00:00+00:00,9999.453485170208,8366.622967477319,1632.8305176928893
2026-04-26 21:00:00+00:00,10001.714597039014,8366.622967477319,1635.0916295616971
2026-04-26 22:00:00+00:00,9999.788703589986,8366.622967477319,1633.165736112667
2026-04-26 23:00:00+00:00,10004.835581609412,8366.622967477319,1638.2126141320934
2026-04-27 00:00:00+00:00,10015.86235020064,8366.622967477319,1649.239382723322
2026-04-27 01:00:00+00:00,10022.601613905368,7865.435766372488,2157.1658475328804
2026-04-27 02:00:00+00:00,10020.497391494515,7865.435766372488,2155.061625122026
2026-04-27 03:00:00+00:00,10018.937490521825,7865.435766372488,2153.5017241493347
2026-04-27 04:00:00+00:00,10012.878160565433,7865.435766372488,2147.4423941929463
2026-04-27 05:00:00+00:00,9971.224236493517,7865.435766372488,2105.788470121029
2026-04-27 06:00:00+00:00,9960.228656614601,8257.016101394216,1703.2125552203852
2026-04-27 07:00:00+00:00,9954.581070842687,8257.016101394216,1697.564969448471
2026-04-27 08:00:00+00:00,9960.369066804657,8257.016101394216,1703.3529654104404
2026-04-27 09:00:00+00:00,9963.911881585584,8257.016101394216,1706.8957801913675
