symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
SOL,sell,2026-02-24 00:00:00+00:00,77.8563979955192,2026-02-24 23:00:00+00:00,79.41620627468635,6.375395003317537,-9.94439390913553,-10.29532997578291,0.3509360666473807,122,stop_loss
LINK,sell,2026-02-24 00:00:00+00:00,8.2635229243693,2026-02-25 01:00:00+00:00,8.429078797825094,60.46091971288187,-10.009660373006806,-10.362897714919045,0.35323734191223843,124,stop_loss
DOGE,sell,2026-02-24 00:00:00+00:00,0.09262390445717204,2026-02-25 01:00:00+00:00,0.09447957125836927,5358.932919810639,-9.944393909135515,-10.295329975782895,0.3509360666473807,124,stop_loss
ARB,sell,2026-02-24 02:00:00+00:00,0.09283667205633238,2026-02-25 01:00:00+00:00,0.09469683359264305,6151.259081567149,-11.442335543412943,-11.846083840695155,0.40374829728221084,122,stop_loss
SOL,sell,2026-02-25 00:00:00+00:00,78.89565089131199,2026-02-25 01:00:00+00:00,80.47701377211949,10.149893121780893,-16.050664226947703,-16.616829298525385,0.5661650715776818,100,stop_loss
AVAX,sell,2026-02-25 02:00:00+00:00,8.613712502012286,2026-02-25 10:00:00+00:00,8.78638590597735,104.40628853397295,-18.02818923651971,-18.664026703802545,0.6358374672828349,107,stop_loss
SOL,sell,2026-02-25 02:00:00+00:00,81.94064618185313,2026-02-25 12:00:00+00:00,83.58394383165287,15.310545820275333,-25.159783963609822,-26.046778399038637,0.8869944354288143,109,stop_loss
LINK,sell,2026-02-25 02:00:00+00:00,8.572877006555782,2026-02-25 12:00:00+00:00,8.744770260925337,126.19457691325823,-21.691996509409133,-22.456883557074285,0.7648870476651521,109,stop_loss
AVAX,buy,2026-02-26 00:00:00+00:00,9.51581576777712,2026-02-26 07:00:00+00:00,9.325193094904643,51.43494275678902,-9.80466626734198,-10.14384627225258,0.33918000491059896,106,stop_loss
SOL,buy,2026-02-26 00:00:00+00:00,87.99117561687335,2026-02-26 15:00:00+00:00,86.22827111143751,6.579658377663971,-11.599309398212494,-12.000515735081523,0.4012063368690296,114,stop_loss
LINK,buy,2026-02-26 00:00:00+00:00,9.270129386795379,2026-02-26 15:00:00+00:00,9.084407227261577,60.53670230498778,-11.243007083137186,-11.63189996681144,0.3888928836742542,114,stop_loss
AVAX,buy,2026-02-26 09:00:00+00:00,9.32530933803887,2026-02-26 16:00:00+00:00,9.13850303189068,52.449048779954,-9.797813063569446,-10.136756182820145,0.33894311925069853,106,stop_loss
DOGE,buy,2026-02-26 11:00:00+00:00,0.09885827588853638,2026-02-26 16:00:00+00:00,0.09687793210787485,4937.189459042291,-9.77733243916207,-10.115567630468838,0.3382351913067689,104,stop_loss
ARB,buy,2026-02-26 11:00:00+00:00,0.0994032939489203,2026-02-26 16:00:00+00:00,0.09741203228488958,4910.119355871485,-9.777332439162068,-10.115567630468837,0.3382351913067688,104,stop_loss
ARB,buy,2026-02-26 17:00:00+00:00,0.09576433051728604,2026-02-26 19:00:00+00:00,0.0995903104968513,9491.713539332455,36.31510597325445,35.66611749857979,0.6489884746746621,101,take_profit
DOGE,sell,2026-02-26 17:00:00+00:00,0.09567969394678827,2026-02-27 02:00:00+00:00,0.09759772340486562,9407.154987261098,-18.043200382266097,-18.679566672999016,0.6363662907329205,108,stop_loss
LINK,buy,2026-02-26 17:00:00+00:00,8.889689668846907,2026-02-27 04:00:00+00:00,9.24486394718249,96.0740646562371,34.123036581045056,33.513244689326214,0.6097918917188407,110,take_profit
